houseid,property_type,beds,baths,sqft,lot_size,year_built,zipcode,latitude,longitude,list_price
3628,Single Family Residential,4.0,2.5,2313.0,9000.0,1961.0,77096,29.6713026,-95.4736648,455000
3629,Single Family Residential,3.0,2.5,1395.0,2500.0,2022.0,77051,29.6678798,-95.3612027,267000
3631,Single Family Residential,4.0,3.5,3000.0,8280.0,1980.0,77077,29.7510035,-95.5831643,465000
3632,Single Family Residential,3.0,3.5,2418.0,1487.0,2008.0,77007,29.7701856,-95.3755633,492000
3633,Single Family Residential,4.0,2.0,1392.0,5075.0,1955.0,77021,29.6850275,-95.3595471,185000
3635,Single Family Residential,3.0,2.0,1427.0,,2022.0,77336,30.029429,-95.11049,270490
3636,Single Family Residential,4.0,2.5,3090.0,8494.0,2001.0,77065,29.9257177,-95.6193264,385900
3637,Single Family Residential,3.0,2.5,1551.0,2500.0,2022.0,77029,29.735256,-95.2561448,235000
3639,Single Family Residential,4.0,3.5,2753.0,6340.0,1989.0,77077,29.7608072,-95.6370542,529700
3640,Single Family Residential,3.0,2.5,1643.0,2550.0,2022.0,77493,29.831092,-95.8046682,269990
3641,Single Family Residential,3.0,2.0,1907.0,9005.0,1968.0,77080,29.8194943,-95.5388929,499900
3643,Single Family Residential,3.0,2.5,1711.0,2550.0,2022.0,77493,29.8306889,-95.8043835,274990
3645,Single Family Residential,4.0,2.5,3056.0,9380.0,1968.0,77062,29.5607591,-95.1329227,267500
3647,Single Family Residential,3.0,2.5,1311.0,3775.0,2022.0,77493,29.8308141,-95.8043876,249990
3648,Single Family Residential,4.0,3.0,3021.0,9863.0,1997.0,77064,29.9007812,-95.5652146,525000
3650,Single Family Residential,3.0,2.5,1311.0,2550.0,2022.0,77493,29.8311016,-95.8044751,249990
3652,Single Family Residential,3.0,2.0,2412.0,12960.0,1960.0,77096,29.6668521,-95.4770848,370000
3653,Single Family Residential,3.0,3.5,2104.0,1400.0,2022.0,77004,29.7342193,-95.3680932,494900
3655,Single Family Residential,3.0,2.5,1849.0,2614.0,2022.0,77493,29.8308612,-95.8055411,279990
3656,Single Family Residential,3.0,3.5,2648.0,1525.0,2022.0,77006,29.7497753,-95.4019381,730000
3657,Single Family Residential,4.0,4.5,4775.0,10540.0,2011.0,77056,29.740452,-95.4755283,1495000
3658,Single Family Residential,5.0,3.5,4082.0,6982.0,2006.0,77064,29.9344957,-95.5373061,450000
3661,Single Family Residential,3.0,2.0,1535.0,9600.0,1959.0,77055,29.7899768,-95.5387002,485000
3663,Single Family Residential,3.0,1.5,1124.0,5000.0,1960.0,77051,29.6726055,-95.372255,160000
3664,Single Family Residential,3.0,3.5,2765.0,1525.0,2022.0,77006,29.7499808,-95.401932,750000
3665,Single Family Residential,3.0,2.0,1322.0,4641.0,1972.0,77053,29.5890921,-95.4520433,229000
3668,Single Family Residential,4.0,2.5,2285.0,9963.0,1967.0,77042,29.7484654,-95.5652351,527500
3669,Single Family Residential,3.0,2.5,1643.0,2564.0,2022.0,77493,29.8310895,-95.8049539,269990
3672,Single Family Residential,4.0,2.5,2927.0,7455.0,2004.0,77494,29.7228558,-95.8070182,430000
3673,Single Family Residential,3.0,1.0,1565.0,5500.0,1949.0,77023,29.7206589,-95.2901803,288000
3674,Single Family Residential,3.0,2.0,1576.0,6206.0,1971.0,77092,29.8441854,-95.4827989,320000
3676,Single Family Residential,4.0,3.5,3950.0,41560.0,1945.0,77021,29.7087578,-95.3618771,850000
3678,Single Family Residential,5.0,5.5,5276.0,9340.0,2022.0,77024,29.7766429,-95.5551242,2399900
3681,Single Family Residential,3.0,3.5,2589.0,3160.0,2008.0,77345,30.0486127,-95.1809079,399900
3682,Single Family Residential,5.0,3.5,4204.0,7348.0,2008.0,77338,30.0164445,-95.324506,399999
3689,Single Family Residential,4.0,3.5,3897.0,8400.0,2003.0,77346,29.9941958,-95.1435937,389900
3690,Single Family Residential,3.0,2.0,1673.0,8800.0,1978.0,77078,29.8485979,-95.2312557,215000
3691,Single Family Residential,4.0,2.0,1774.0,8030.0,1960.0,77096,29.6825253,-95.4838159,384990
3693,Single Family Residential,2.0,2.0,1749.0,5000.0,1930.0,77009,29.7926173,-95.3727099,599000
3694,Single Family Residential,4.0,4.5,3780.0,7200.0,2022.0,77018,29.8228938,-95.4450017,1099000
3695,Single Family Residential,5.0,5.0,4204.0,6600.0,2021.0,77008,29.8010976,-95.4026064,1699000
3696,Single Family Residential,5.0,2.5,2725.0,7131.0,1997.0,77346,29.9955029,-95.1918706,337999
3699,Single Family Residential,3.0,2.0,1528.0,6328.0,1978.0,77053,29.5992815,-95.4755148,229900
3700,Single Family Residential,3.0,2.5,3352.0,6600.0,2001.0,77008,29.801627,-95.4045495,1675000
3703,Single Family Residential,5.0,3.5,4512.0,13020.0,1999.0,77388,30.0507134,-95.476839,649000
3704,Single Family Residential,5.0,7.0,7038.0,19350.0,2007.0,77056,29.7510878,-95.4713507,3195000
3707,Single Family Residential,4.0,2.0,2252.0,9186.0,1974.0,77380,30.1326176,-95.4561377,380000
3708,Single Family Residential,3.0,3.5,2250.0,1400.0,2022.0,77004,29.734494,-95.3679827,469900
3709,Single Family Residential,3.0,2.0,2217.0,7410.0,1981.0,77083,29.704006,-95.6651664,270000
3710,Single Family Residential,3.0,2.0,1840.0,16318.0,1926.0,77029,29.7630221,-95.2355384,265000
3712,Single Family Residential,3.0,2.0,1820.0,44357.0,1973.0,77365,30.0968549,-95.1747755,145000
3714,Single Family Residential,4.0,4.5,3921.0,5000.0,2005.0,77007,29.7680974,-95.4179484,1649000
